id_pedido,fecha_pedido,id_cliente,segmento_cliente,categoria_producto,nombre_producto,unidades,precio_unitario_usd,importe_total_usd,metodo_pago,estado_pedido,pais_envio,dias_envio,devuelto
PED-3000,2027-03-23,CLI-015,Nuevo,Moda,Sudadera Gris,1,49.9,49.9,Tarjeta,Completado,Portugal,2,false
PED-3001,2027-01-05,CLI-004,Nuevo,Hogar,Lámpara de Escritorio,1,45.0,45.0,Tarjeta,Completado,Portugal,5,false
PED-3002,2027-03-17,CLI-036,Nuevo,Hogar,Hervidor Eléctrico,1,39.99,39.99,PayPal,Completado,Alemania,2,false
PED-3003,2027-01-13,CLI-046,Recurrente,Moda,Camiseta Negra,2,15.0,30.0,Tarjeta,Cancelado,Italia,,false
PED-3004,2027-01-11,CLI-071,Recurrente,Moda,Sudadera Gris,2,49.9,99.8,Tarjeta,Completado,Alemania,2,false
PED-3005,2027-01-13,CLI-049,Recurrente,Accesorios,Gorra Deportiva,1,18.0,18.0,PayPal,Completado,Alemania,7,false
PED-3006,2027-03-24,CLI-010,Nuevo,Hogar,Lámpara de Escritorio,1,45.0,45.0,PayPal,Cancelado,Portugal,,false
PED-3007,2027-01-29,CLI-088,Recurrente,Electrónica,Ratón Inalámbrico,2,25.0,50.0,PayPal,Completado,España,3,false
PED-3008,2027-03-14,CLI-092,Recurrente,Hogar,Hervidor Eléctrico,1,39.99,39.99,PayPal,Completado,Francia,3,false
PED-3009,2027-03-10,CLI-034,Recurrente,Accesorios,Gorra Deportiva,1,18.0,18.0,Tarjeta,Completado,España,8,false
PED-3010,2027-01-15,CLI-020,Nuevo,Accesorios,Funda iPhone,1,19.99,19.99,PayPal,Completado,Portugal,8,false
PED-3011,2027-03-29,CLI-093,Nuevo,Moda,Pantalón Chino,1,55.0,55.0,PayPal,Completado,España,7,false
PED-3012,2027-02-03,CLI-065,Nuevo,Electrónica,Tablet 10 pulgadas,2,199.0,398.0,Tarjeta,Completado,Francia,6,false
PED-3013,2027-03-09,CLI-001,Recurrente,Accesorios,Funda iPhone,1,19.99,19.99,PayPal,Completado,Alemania,3,false
PED-3014,2027-03-14,CLI-011,Nuevo,Accesorios,Funda iPhone,3,19.99,59.97,Tarjeta,Completado,Italia,6,false
PED-3015,2027-03-09,CLI-078,Recurrente,Hogar,Lámpara de Techo,2,120.0,240.0,Tarjeta,Completado,Italia,7,false
PED-3016,2027-02-26,CLI-067,Recurrente,Electrónica,Ratón Inalámbrico,1,25.0,25.0,PayPal,Completado,Portugal,3,false
PED-3017,2027-01-01,CLI-010,Nuevo,Hogar,Cafetera Italiana,3,34.5,103.5,PayPal,Completado,Francia,4,false
PED-3018,2027-01-28,CLI-070,Nuevo,Accesorios,Mochila Urbana,2,65.0,130.0,PayPal,Completado,España,7,false
